protocol,backbone,seed,mAP_base_pp,mAP_abs_pp,mAP_norm_pp,mAP_normmatch_pp,mAP_random_pp,d_abs_pp,d_norm_pp,d_normmatch_pp,d_random_pp,d_abs_vs_normmatch_pp,d_abs_vs_random_pp,normmatch_factor,normmatch_gate,random_gate,normmatch_rtype,random_rtype,normmatch_config_sha,random_config_sha,base_path,abs_path,norm_path,normmatch_path,random_path
biwi_s,gru,42,20.4854,21.7335,20.7145,20.1497,20.678,1.2482,0.2291,-0.3357,0.1927,1.5838,1.0555,0.21329468488693237,0.1944202035665512,0.10744640231132507,norm_matched,random_matched,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,transg_official_biwi_layoutfix_20260808/biwi_s/gru/seed42/result.json,isrgru_pos_fix_20260808/biwi_s/isrgru/seed42/result.json,frame_norm_residual_20260812/results/biwi_s/isrgru_norm/seed42/result.json,frame_scale_controls_20260813/results/biwi_s/isrgru_normmatch/seed42/result.json,frame_scale_controls_20260813/results/biwi_s/isrgru_randommatch/seed42/result.json
biwi_s,gru,123,19.2705,20.8815,19.9333,19.1719,19.9058,1.611,0.6628,-0.0986,0.6353,1.7097,0.9758,0.21329468488693237,0.20297622680664062,0.10903190821409225,norm_matched,random_matched,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,transg_official_biwi_layoutfix_20260808/biwi_s/gru/seed123/result.json,isrgru_pos_fix_20260808/biwi_s/isrgru/seed123/result.json,frame_norm_residual_20260812/results/biwi_s/isrgru_norm/seed123/result.json,frame_scale_controls_20260813/results/biwi_s/isrgru_normmatch/seed123/result.json,frame_scale_controls_20260813/results/biwi_s/isrgru_randommatch/seed123/result.json
biwi_s,gru,2026,19.8729,20.3852,19.4518,18.8744,19.4064,0.5122,-0.4212,-0.9985,-0.4665,1.5108,0.9787,0.21329468488693237,0.20323513448238373,0.10813327133655548,norm_matched,random_matched,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,transg_official_biwi_layoutfix_20260808/biwi_s/gru/seed2026/result.json,isrgru_pos_fix_20260808/biwi_s/isrgru/seed2026/result.json,frame_norm_residual_20260812/results/biwi_s/isrgru_norm/seed2026/result.json,frame_scale_controls_20260813/results/biwi_s/isrgru_normmatch/seed2026/result.json,frame_scale_controls_20260813/results/biwi_s/isrgru_randommatch/seed2026/result.json
biwi_s,transformer,42,18.5473,19.6791,19.386,16.9876,19.3539,1.1318,0.8386,-1.5597,0.8066,2.6914,0.3252,0.21329468488693237,0.18495985865592957,0.10945962369441986,norm_matched,random_matched,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,transg_official_biwi_layoutfix_20260808/biwi_s/transformer/seed42/result.json,isr_transfer_pilot_20260805/biwi_s_isr_transformer_42/result.json,frame_norm_residual_20260812/results/biwi_s/isr_transformer_norm/seed42/result.json,frame_scale_controls_20260813/results/biwi_s/isr_transformer_normmatch/seed42/result.json,frame_scale_controls_20260813/results/biwi_s/isr_transformer_randommatch/seed42/result.json
biwi_s,transformer,123,15.9501,18.401,18.0258,17.195,17.8323,2.4509,2.0757,1.2449,1.8822,1.206,0.5688,0.21329468488693237,0.194065123796463,0.10922983288764954,norm_matched,random_matched,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,transg_official_biwi_layoutfix_20260808/biwi_s/transformer/seed123/result.json,isr_transfer_pilot_20260805/biwi_s_isr_transformer_123/result.json,frame_norm_residual_20260812/results/biwi_s/isr_transformer_norm/seed123/result.json,frame_scale_controls_20260813/results/biwi_s/isr_transformer_normmatch/seed123/result.json,frame_scale_controls_20260813/results/biwi_s/isr_transformer_randommatch/seed123/result.json
biwi_s,transformer,2026,16.0128,19.6976,19.2257,17.9404,19.1036,3.6848,3.2129,1.9276,3.0908,1.7573,0.5941,0.21329468488693237,0.19271107017993927,0.10870081186294556,norm_matched,random_matched,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22,transg_official_biwi_layoutfix_20260808/biwi_s/transformer/seed2026/result.json,isr_transfer_pilot_20260805/biwi_s_isr_transformer_2026/result.json,frame_norm_residual_20260812/results/biwi_s/isr_transformer_norm/seed2026/result.json,frame_scale_controls_20260813/results/biwi_s/isr_transformer_normmatch/seed2026/result.json,frame_scale_controls_20260813/results/biwi_s/isr_transformer_randommatch/seed2026/result.json
biwi_w,gru,42,25.1754,26.2218,24.6987,22.8798,24.5839,1.0463,-0.4768,-2.2957,-0.5916,3.342,1.6379,0.21329468488693237,0.1944202035665512,0.10744640231132507,norm_matched,random_matched,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,transg_official_biwi_layoutfix_20260808/biwi_w/gru/seed42/result.json,isrgru_pos_fix_20260808/biwi_w/isrgru/seed42/result.json,frame_norm_residual_20260812/results/biwi_w/isrgru_norm/seed42/result.json,frame_scale_controls_20260813/results/biwi_w/isrgru_normmatch/seed42/result.json,frame_scale_controls_20260813/results/biwi_w/isrgru_randommatch/seed42/result.json
biwi_w,gru,123,23.3696,25.7197,24.0187,23.4822,24.0393,2.3501,0.6491,0.1127,0.6698,2.2375,1.6803,0.21329468488693237,0.20297622680664062,0.10903190821409225,norm_matched,random_matched,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,transg_official_biwi_layoutfix_20260808/biwi_w/gru/seed123/result.json,isrgru_pos_fix_20260808/biwi_w/isrgru/seed123/result.json,frame_norm_residual_20260812/results/biwi_w/isrgru_norm/seed123/result.json,frame_scale_controls_20260813/results/biwi_w/isrgru_normmatch/seed123/result.json,frame_scale_controls_20260813/results/biwi_w/isrgru_randommatch/seed123/result.json
biwi_w,gru,2026,23.4545,23.9727,22.5924,23.3652,22.4744,0.5182,-0.862,-0.0893,-0.9801,0.6075,1.4984,0.21329468488693237,0.20323513448238373,0.10813327133655548,norm_matched,random_matched,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,transg_official_biwi_layoutfix_20260808/biwi_w/gru/seed2026/result.json,isrgru_pos_fix_20260808/biwi_w/isrgru/seed2026/result.json,frame_norm_residual_20260812/results/biwi_w/isrgru_norm/seed2026/result.json,frame_scale_controls_20260813/results/biwi_w/isrgru_normmatch/seed2026/result.json,frame_scale_controls_20260813/results/biwi_w/isrgru_randommatch/seed2026/result.json
biwi_w,transformer,42,21.7985,20.5886,20.328,19.9477,20.3967,-1.21,-1.4706,-1.8509,-1.4019,0.6409,0.1919,0.21329468488693237,0.18495985865592957,0.10945962369441986,norm_matched,random_matched,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9,transg_official_biwi_layoutfix_20260808/biwi_w/transformer/seed42/result.json,isr_transfer_pilot_20260805/biwi_w_isr_transformer_42/result.json,frame_norm_residual_20260812/results/biwi_w/isr_transformer_norm/seed42/result.json,frame_scale_controls_20260813/results/biwi_w/isr_transformer_normmatch/seed42/result.json,frame_scale_controls_20260813/results/biwi_w/isr_transformer_randommatch/seed42/result.json
