protocol,backbone,d_abs_mean_pp,d_abs_std_pp,d_norm_mean_pp,d_normmatch_mean_pp,d_normmatch_std_pp,d_random_mean_pp,d_random_std_pp,d_abs_vs_normmatch_mean_pp,d_abs_vs_normmatch_std_pp,d_abs_vs_random_mean_pp,d_abs_vs_random_std_pp
biwi_s,gru,1.12,0.56,0.16,-0.48,0.47,0.12,0.55,1.6,0.1,1.0,0.05
biwi_s,transformer,2.42,1.28,2.04,0.54,1.85,1.93,1.14,1.88,0.75,0.5,0.15
biwi_w,gru,1.3,0.94,-0.23,-0.76,1.34,-0.3,0.86,2.06,1.38,1.61,0.1
biwi_w,transformer,1.26,2.19,0.62,-0.32,1.64,0.75,1.88,1.58,0.95,0.51,0.38
ias_a,gru,0.22,0.61,0.01,0.32,0.38,-0.14,0.76,-0.1,0.24,0.36,0.17
ias_a,transformer,0.43,1.13,-0.05,0.77,1.61,-0.13,1.21,-0.34,0.69,0.55,0.25
ias_b,gru,0.17,0.56,-0.14,-0.0,0.28,-0.23,0.62,0.17,0.29,0.39,0.09
ias_b,transformer,0.16,0.67,-0.27,0.2,0.82,-0.24,0.79,-0.03,0.24,0.41,0.42
kgbd,gru,0.66,0.32,-0.16,-0.1,0.43,-0.36,0.32,0.77,0.2,1.03,0.08
kgbd,transformer,1.04,0.41,0.12,-0.3,0.33,0.08,0.11,1.33,0.11,0.96,0.3
kgbd_dedup,gru,0.63,0.31,-0.17,-0.11,0.4,-0.37,0.32,0.74,0.21,1.0,0.09
kgbd_dedup,transformer,1.09,0.44,0.16,-0.3,0.39,0.12,0.16,1.39,0.11,0.97,0.29
