protocol,backbone,model_base,model_abs,model_norm,seed,mAP_base_pp,mAP_abs_pp,mAP_norm_pp,d_abs_pp,d_norm_pp,d_abs_vs_norm_pp,base_path,abs_path,norm_path,norm_params,norm_gate,abs_gate,norm_rtype,norm_config_sha
biwi_s,gru,gru,isrgru,isrgru_norm,42,20.4854,21.7335,20.7145,1.2482,0.2291,1.019,transg_official_biwi_layoutfix_20260808/biwi_s/gru/seed42/result.json,isrgru_pos_fix_20260808/biwi_s/isrgru/seed42/result.json,results/biwi_s/isrgru_norm/seed42/result.json,231041,0.19048748910427094,0.20380933582782745,normalized,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22
biwi_s,gru,gru,isrgru,isrgru_norm,123,19.2705,20.8815,19.9333,1.611,0.6628,0.9482,transg_official_biwi_layoutfix_20260808/biwi_s/gru/seed123/result.json,isrgru_pos_fix_20260808/biwi_s/isrgru/seed123/result.json,results/biwi_s/isrgru_norm/seed123/result.json,231041,0.2011120617389679,0.202545627951622,normalized,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22
biwi_s,gru,gru,isrgru,isrgru_norm,2026,19.8729,20.3852,19.4518,0.5122,-0.4212,0.9334,transg_official_biwi_layoutfix_20260808/biwi_s/gru/seed2026/result.json,isrgru_pos_fix_20260808/biwi_s/isrgru/seed2026/result.json,results/biwi_s/isrgru_norm/seed2026/result.json,231041,0.1982557773590088,0.2043149471282959,normalized,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22
biwi_s,transformer,transformer,isr_transformer,isr_transformer_norm,42,18.5473,19.6791,19.386,1.1318,0.8386,0.2931,transg_official_biwi_layoutfix_20260808/biwi_s/transformer/seed42/result.json,isr_transfer_pilot_20260805/biwi_s_isr_transformer_42/result.json,results/biwi_s/isr_transformer_norm/seed42/result.json,298113,0.18277323246002197,0.19506390392780304,normalized,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22
biwi_s,transformer,transformer,isr_transformer,isr_transformer_norm,123,15.9501,18.401,18.0258,2.4509,2.0757,0.3752,transg_official_biwi_layoutfix_20260808/biwi_s/transformer/seed123/result.json,isr_transfer_pilot_20260805/biwi_s_isr_transformer_123/result.json,results/biwi_s/isr_transformer_norm/seed123/result.json,298113,0.19045302271842957,0.1975974440574646,normalized,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22
biwi_s,transformer,transformer,isr_transformer,isr_transformer_norm,2026,16.0128,19.6976,19.2257,3.6848,3.2129,0.4719,transg_official_biwi_layoutfix_20260808/biwi_s/transformer/seed2026/result.json,isr_transfer_pilot_20260805/biwi_s_isr_transformer_2026/result.json,results/biwi_s/isr_transformer_norm/seed2026/result.json,298113,0.18857333064079285,0.19986960291862488,normalized,a884fdec3a3c5ff38dca35a121410406766e8ae9020b94990a60d71d1a72bd22
biwi_w,gru,gru,isrgru,isrgru_norm,42,25.1754,26.2218,24.6987,1.0463,-0.4768,1.5231,transg_official_biwi_layoutfix_20260808/biwi_w/gru/seed42/result.json,isrgru_pos_fix_20260808/biwi_w/isrgru/seed42/result.json,results/biwi_w/isrgru_norm/seed42/result.json,231041,0.19048748910427094,0.20380933582782745,normalized,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9
biwi_w,gru,gru,isrgru,isrgru_norm,123,23.3696,25.7197,24.0187,2.3501,0.6491,1.701,transg_official_biwi_layoutfix_20260808/biwi_w/gru/seed123/result.json,isrgru_pos_fix_20260808/biwi_w/isrgru/seed123/result.json,results/biwi_w/isrgru_norm/seed123/result.json,231041,0.2011120617389679,0.202545627951622,normalized,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9
biwi_w,gru,gru,isrgru,isrgru_norm,2026,23.4545,23.9727,22.5924,0.5182,-0.862,1.3803,transg_official_biwi_layoutfix_20260808/biwi_w/gru/seed2026/result.json,isrgru_pos_fix_20260808/biwi_w/isrgru/seed2026/result.json,results/biwi_w/isrgru_norm/seed2026/result.json,231041,0.1982557773590088,0.2043149471282959,normalized,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9
biwi_w,transformer,transformer,isr_transformer,isr_transformer_norm,42,21.7985,20.5886,20.328,-1.21,-1.4706,0.2606,transg_official_biwi_layoutfix_20260808/biwi_w/transformer/seed42/result.json,isr_transfer_pilot_20260805/biwi_w_isr_transformer_42/result.json,results/biwi_w/isr_transformer_norm/seed42/result.json,298113,0.18277323246002197,0.19506390392780304,normalized,1deaf43faceaf6527e0803c33bee3a9eba0d564b71137c8df99af0fc921f31b9
