protocol,backbone,mAP_base_pp,mAP_abs_pp,mAP_norm_pp,d_abs_pp_mean,d_abs_pp_std,pos_abs,d_norm_pp_mean,d_norm_pp_std,pos_norm,d_abs_vs_norm_pp_mean,d_abs_vs_norm_pp_std
biwi_s,gru,19.88,21.0,20.03,1.12,0.56,3/3,0.16,0.55,2/3,0.97,0.05
biwi_s,transformer,16.84,19.26,18.88,2.42,1.28,3/3,2.04,1.19,3/3,0.38,0.09
biwi_w,gru,24.0,25.3,23.77,1.3,0.94,3/3,-0.23,0.79,1/3,1.53,0.16
biwi_w,transformer,20.45,21.72,21.08,1.26,2.19,2/3,0.62,1.86,2/3,0.64,0.34
ias_a,gru,23.6,23.82,23.61,0.22,0.61,2/3,0.01,0.78,2/3,0.21,0.19
ias_a,transformer,28.15,28.58,28.1,0.43,1.13,2/3,-0.05,0.91,2/3,0.48,0.27
ias_b,gru,22.95,23.11,22.8,0.17,0.56,2/3,-0.14,0.66,1/3,0.31,0.11
ias_b,transformer,27.26,27.42,26.99,0.16,0.67,2/3,-0.27,0.61,1/3,0.43,0.14
kgbd,gru,16.36,17.02,16.2,0.66,0.32,3/3,-0.16,0.3,1/3,0.82,0.04
kgbd,transformer,23.24,24.28,23.36,1.04,0.41,3/3,0.12,0.12,3/3,0.92,0.3
kgbd_dedup,gru,16.27,16.91,16.1,0.63,0.31,3/3,-0.17,0.29,1/3,0.8,0.04
kgbd_dedup,transformer,23.04,24.13,23.2,1.09,0.44,3/3,0.16,0.19,2/3,0.93,0.29
