protocol,arm,model,seed,mAP,path
biwi_s,baseline,gru,42,20.4854,transg_official_biwi_layoutfix_20260808/biwi_s/gru/seed42/result.json
biwi_s,baseline,transformer,42,18.5473,transg_official_biwi_layoutfix_20260808/biwi_s/transformer/seed42/result.json
biwi_s,baseline,gru,123,19.2705,transg_official_biwi_layoutfix_20260808/biwi_s/gru/seed123/result.json
biwi_s,baseline,transformer,123,15.9501,transg_official_biwi_layoutfix_20260808/biwi_s/transformer/seed123/result.json
biwi_s,baseline,gru,2026,19.8729,transg_official_biwi_layoutfix_20260808/biwi_s/gru/seed2026/result.json
biwi_s,baseline,transformer,2026,16.0128,transg_official_biwi_layoutfix_20260808/biwi_s/transformer/seed2026/result.json
biwi_s,baseline,gru,2027,20.6494,biwi_s/gru/seed2027/result.json
biwi_s,baseline,transformer,2027,18.0569,biwi_s/transformer/seed2027/result.json
biwi_s,baseline,gru,2028,19.3820,biwi_s/gru/seed2028/result.json
biwi_s,baseline,transformer,2028,18.8392,biwi_s/transformer/seed2028/result.json
biwi_s,absolute,isrgru,42,21.7335,isrgru_pos_fix_20260808/biwi_s/isrgru/seed42/result.json
biwi_s,absolute,isr_transformer,42,19.6791,isr_transfer_pilot_20260805/biwi_s_isr_transformer_42/result.json
biwi_s,absolute,isrgru,123,20.8815,isrgru_pos_fix_20260808/biwi_s/isrgru/seed123/result.json
biwi_s,absolute,isr_transformer,123,18.4010,isr_transfer_pilot_20260805/biwi_s_isr_transformer_123/result.json
biwi_s,absolute,isrgru,2026,20.3852,isrgru_pos_fix_20260808/biwi_s/isrgru/seed2026/result.json
biwi_s,absolute,isr_transformer,2026,19.6976,isr_transfer_pilot_20260805/biwi_s_isr_transformer_2026/result.json
biwi_s,absolute,isrgru,2027,21.1087,biwi_s/isrgru/seed2027/result.json
biwi_s,absolute,isr_transformer,2027,19.3727,biwi_s/isr_transformer/seed2027/result.json
biwi_s,absolute,isrgru,2028,22.2364,biwi_s/isrgru/seed2028/result.json
biwi_s,absolute,isr_transformer,2028,19.3206,biwi_s/isr_transformer/seed2028/result.json
biwi_s,normalized,isrgru_norm,42,20.7145,biwi_s/isrgru_norm/seed42/result.json
biwi_s,normalized,isr_transformer_norm,42,19.3860,biwi_s/isr_transformer_norm/seed42/result.json
biwi_s,normalized,isrgru_norm,123,19.9333,biwi_s/isrgru_norm/seed123/result.json
biwi_s,normalized,isr_transformer_norm,123,18.0258,biwi_s/isr_transformer_norm/seed123/result.json
biwi_s,normalized,isrgru_norm,2026,19.4518,biwi_s/isrgru_norm/seed2026/result.json
biwi_s,normalized,isr_transformer_norm,2026,19.2257,biwi_s/isr_transformer_norm/seed2026/result.json
biwi_s,normalized,isrgru_norm,2027,20.4298,biwi_s/isrgru_norm/seed2027/result.json
biwi_s,normalized,isr_transformer_norm,2027,18.2224,biwi_s/isr_transformer_norm/seed2027/result.json
biwi_s,normalized,isrgru_norm,2028,20.5359,biwi_s/isrgru_norm/seed2028/result.json
biwi_s,normalized,isr_transformer_norm,2028,18.7326,biwi_s/isr_transformer_norm/seed2028/result.json
